start	end	text
0	4420	The first one is that I think there are quite a few cynical people outside of this hall
4420	8700	and thinking, is there any point in having a summit on peace?
9400	12940	And to them, I think the simple answer is to say that, as a matter of fact,
13300	16400	if you don't talk about peace, you can't achieve it.
17200	20520	And the mere fact that we have 60 heads of state government here,
20520	25600	that we have 100 countries, I think is an achievement in and of itself.
26360	32240	And I think for us in the global West, it's very important to listen to the voices that we've heard here.
32400	38400	Today, I've listened attentively to the president of Kenya, president of Ghana and Chile,
38540	43120	prime minister of Qatar, and the foreign minister of South Africa.
43120	49020	There are wars waging around the world, and they call for peace as much as this one.
49820	53420	Now, for those who don't come from next to Russia,
53420	56980	you must also understand that a lot of us are worried.
58220	61500	We have 1,300 kilometers of border with Russia.
61880	66760	Since the 1300s, we've had over 30 wars and skirmishes with Russia.
67500	69660	Russia invaded Finland in World War II.
70500	75120	We lost 10% of our territory, including the land where my grandparents were born
75120	77420	and where my father was born.
77940	81940	This is why the reaction from our side has been so vehement.
81940	87160	My second point is that I actually think this has been a good week for peace.
87540	87740	Why?
88440	91860	Because of this summit, because of the G7 summit,
92580	96380	because the EU negotiations for Ukraine started this week,
96700	101660	and because of the support that our NATO allies are giving to Ukraine.
101660	108340	So I think that Ukraine actually starts this path towards peace from a position of strength
108340	113940	much stronger than what it was three weeks ago, let alone three months ago.
113940	118700	My third and final point is, when we talk about peace,
118700	121400	it's important to talk about the nature of peace.
121900	125700	And here's where I think it's very important to listen to not only President Zelensky,
126380	131500	but all of those who say that this has to be a just and sustainable peace,
131740	135760	which is based on international law and the UN Charter.
135760	140700	It also means that we need to have a follow-up to this meeting as soon as possible,
141120	143620	because peace is very rarely an end state.
144000	146180	It's always a process.
146780	151460	And let me finish off by saying what my predecessor and mentor,
152200	154940	President Ahtisari, once said.
155360	157320	What humans began, begin.
157800	159060	Humans can also end.
159060	164380	So I hope that this summit will be the first step in the path towards peace.
164600	165780	Thank you for the invitation.
166060	166780	And Slav Al-Krej.
